seed,fold,feature_set,model,balanced_accuracy,f1,roc_auc,average_precision,precision,recall
2024,1,multimodal,svm_rbf,0.6,0.8571428571428571,0.8333333333333334,0.9230230417730417,0.75,1.0
2024,2,multimodal,svm_rbf,0.7166666666666667,0.8333333333333334,0.8833333333333333,0.9566239316239317,0.8333333333333334,0.8333333333333334
2024,3,multimodal,svm_rbf,0.8333333333333333,0.8,0.9666666666666667,0.988095238095238,1.0,0.6666666666666666
2024,4,multimodal,svm_rbf,0.8257575757575758,0.8571428571428571,0.8939393939393939,0.9461760461760463,0.9,0.8181818181818182
2024,0,multimodal,mlp_sklearn,0.5333333333333333,0.6956521739130435,0.65,0.8622944797577151,0.7272727272727273,0.6666666666666666
2024,1,multimodal,mlp_sklearn,0.4666666666666667,0.4444444444444444,0.44999999999999996,0.7789211401343755,0.6666666666666666,0.3333333333333333
2024,2,multimodal,mlp_sklearn,0.6583333333333333,0.8461538461538461,0.7499999999999999,0.8881597024979377,0.7857142857142857,0.9166666666666666
2024,3,multimodal,mlp_sklearn,0.5583333333333333,0.8148148148148148,0.7333333333333334,0.872585978835979,0.7333333333333333,0.9166666666666666
2024,4,multimodal,mlp_sklearn,0.5757575757575758,0.75,0.6666666666666667,0.8379623199141916,0.6923076923076923,0.8181818181818182
2025,0,clinical_only,dummy_most_frequent,0.5,0.8275862068965517,0.5,0.7058823529411765,0.7058823529411765,1.0
2025,1,clinical_only,dummy_most_frequent,0.5,0.8275862068965517,0.5,0.7058823529411765,0.7058823529411765,1.0
2025,2,clinical_only,dummy_most_frequent,0.5,0.8275862068965517,0.5,0.7058823529411765,0.7058823529411765,1.0
2025,3,clinical_only,dummy_most_frequent,0.5,0.8275862068965517,0.5,0.7058823529411765,0.7058823529411765,1.0
2025,4,clinical_only,dummy_most_frequent,0.5,0.7857142857142857,0.5,0.6470588235294118,0.6470588235294118,1.0
2025,0,clinical_only,dummy_stratified,0.3916666666666667,0.6086956521739131,0.3916666666666667,0.6653297682709447,0.6363636363636364,0.5833333333333334
2025,1,clinical_only,dummy_stratified,0.3916666666666667,0.6086956521739131,0.3916666666666667,0.6653297682709447,0.6363636363636364,0.5833333333333334
2025,2,clinical_only,dummy_stratified,0.5333333333333333,0.6956521739130435,0.5333333333333333,0.7201426024955437,0.7272727272727273,0.6666666666666666
2025,3,clinical_only,dummy_stratified,0.3916666666666667,0.6086956521739131,0.3916666666666667,0.6653297682709447,0.6363636363636364,0.5833333333333334
2025,4,clinical_only,dummy_stratified,0.356060606060606,0.5454545454545454,0.356060606060606,0.5916383082158483,0.5454545454545454,0.5454545454545454
2025,0,clinical_only,logistic_regression,0.5333333333333333,0.6956521739130435,0.7,0.8807208994708995,0.7272727272727273,0.6666666666666666
2025,1,clinical_only,logistic_regression,0.8166666666666667,0.8695652173913043,0.8166666666666668,0.9210559728942082,0.9090909090909091,0.8333333333333334
2025,2,clinical_only,logistic_regression,0.6166666666666667,0.8,0.7166666666666666,0.849299543049543,0.7692307692307693,0.8333333333333334
2025,3,clinical_only,logistic_regression,0.675,0.782608695652174,0.75,0.912625167588403,0.8181818181818182,0.75
2025,4,clinical_only,logistic_regression,0.8257575757575758,0.8571428571428571,0.8484848484848484,0.9066738816738817,0.9,0.8181818181818182
2025,0,clinical_only,random_forest,0.8583333333333334,0.9166666666666666,0.9500000000000001,0.9790695415695415,0.9166666666666666,0.9166666666666666
2025,1,clinical_only,random_forest,0.6166666666666667,0.8,0.7,0.8498617123617124,0.7692307692307693,0.8333333333333334
2025,2,clinical_only,random_forest,0.5583333333333333,0.8148148148148148,0.5833333333333334,0.7428964553964554,0.7333333333333333,0.9166666666666666
2025,3,clinical_only,random_forest,0.7583333333333333,0.88,0.9166666666666666,0.9652417027417027,0.8461538461538461,0.9166666666666666
2025,4,clinical_only,random_forest,0.7045454545454546,0.8333333333333334,0.8939393939393939,0.9461760461760463,0.7692307692307693,0.9090909090909091
2025,0,clinical_only,gradient_boosting,0.8166666666666667,0.8695652173913043,0.9,0.9559824434824434,0.9090909090909091,0.8333333333333334
2025,1,clinical_only,gradient_boosting,0.5166666666666667,0.7692307692307693,0.6666666666666667,0.8628671709554063,0.7142857142857143,0.8333333333333334
2025,2,clinical_only,gradient_boosting,0.5166666666666667,0.7692307692307693,0.41666666666666663,0.6660551866434219,0.7142857142857143,0.8333333333333334
2025,3,clinical_only,gradient_boosting,0.6333333333333333,0.7272727272727273,0.6166666666666667,0.8284921709554064,0.8,0.6666666666666666
2025,4,clinical_only,gradient_boosting,0.6590909090909092,0.782608695652174,0.7727272727272727,0.8757020757020757,0.75,0.8181818181818182
2025,0,clinical_only,svm_rbf,0.775,0.8181818181818182,0.9,0.960479797979798,0.9,0.75
2025,1,clinical_only,svm_rbf,0.7166666666666667,0.8333333333333334,0.6833333333333333,0.7693824693824693,0.8333333333333334,0.8333333333333334
2025,2,clinical_only,svm_rbf,0.6166666666666667,0.8,0.6499999999999999,0.8246632996632998,0.7692307692307693,0.8333333333333334
2025,3,clinical_only,svm_rbf,0.775,0.8181818181818182,0.9166666666666667,0.9676989676989677,0.9,0.75
2025,4,clinical_only,svm_rbf,0.7878787878787878,0.8695652173913043,0.8333333333333334,0.904632362586908,0.8333333333333334,0.9090909090909091
2025,0,clinical_only,mlp_sklearn,0.5166666666666667,0.7692307692307693,0.8166666666666667,0.9377136752136753,0.7142857142857143,0.8333333333333334
2025,1,clinical_only,mlp_sklearn,0.4166666666666667,0.7407407407407407,0.5833333333333334,0.841205383668619,0.6666666666666666,0.8333333333333334
2025,2,clinical_only,mlp_sklearn,0.43333333333333335,0.6666666666666666,0.3833333333333333,0.7142551348433702,0.6666666666666666,0.6666666666666666
2025,3,clinical_only,mlp_sklearn,0.375,0.6923076923076923,0.4666666666666667,0.7640852815485168,0.6428571428571429,0.75
2025,4,clinical_only,mlp_sklearn,0.4090909090909091,0.6923076923076923,0.7424242424242424,0.8828429443402707,0.6,0.8181818181818182
2025,0,video_only,dummy_most_frequent,0.5,0.8275862068965517,0.5,0.7058823529411765,0.7058823529411765,1.0
2025,1,video_only,dummy_most_frequent,0.5,0.8275862068965517,0.5,0.7058823529411765,0.7058823529411765,1.0
2025,2,video_only,dummy_most_frequent,0.5,0.8275862068965517,0.5,0.7058823529411765,0.7058823529411765,1.0
2025,3,video_only,dummy_most_frequent,0.5,0.8275862068965517,0.5,0.7058823529411765,0.7058823529411765,1.0
2025,4,video_only,dummy_most_frequent,0.5,0.7857142857142857,0.5,0.6470588235294118,0.6470588235294118,1.0
2025,0,video_only,dummy_stratified,0.3916666666666667,0.6086956521739131,0.3916666666666667,0.6653297682709447,0.6363636363636364,0.5833333333333334
2025,1,video_only,dummy_stratified,0.3916666666666667,0.6086956521739131,0.3916666666666667,0.6653297682709447,0.6363636363636364,0.5833333333333334
2025,2,video_only,dummy_stratified,0.5333333333333333,0.6956521739130435,0.5333333333333333,0.7201426024955437,0.7272727272727273,0.6666666666666666
